"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P28","Buena",0.108,0.114,0.024,0.02
"P28","Ni buena ni mala",0.342,0.303,0.247,0.223
"P28","Mala",0.058,0.108,0.124,0.071
"P28","Muy mala",0.016,0.015,0.202,0.061
"P28","No sabe",0.081,0.184,0.157,0.234
"P28","No lo conozco",0.236,0.189,0.211,0.386
"P29","Muy buena",0.144,0.076,0.071,0.017
"P29","Buena",0.143,0.087,0.036,0.047
"P29","Ni buena ni mala",0.283,0.331,0.192,0.229
"P29","Mala",0.101,0.182,0.135,0.085
"P29","Muy mala",0.111,0.034,0.251,0.084
"P29","No sabe",0.014,0.16,0.133,0.177
"P29","No lo conozco",0.204,0.13,0.182,0.361
"P30","Muy buena",0.159,0.08,0.253,0.101
"P30","Buena",0.11,0.109,0.19,0.158
"P30","Ni buena ni mala",0.166,0.255,0.138,0.204
"P30","Mala",0.185,0.278,0.132,0.218
"P30","Muy mala",0.365,0.212,0.272,0.229
"P30","No sabe",0.015,0.066,0.015,0.09
"P31","Que continúe el intendente Lucas Gui",0.164,0.041,0.27,0.131
"P31","Que continúe Lucas Gui pero con mejoras",0.134,0.229,0.25,0.257
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.13,0.158,0.091,0.096
"P31","Que cambie el intendente Lucas Gui",0.572,0.572,0.389,0.516
"P32","La seguridad",0.174,0.057,0.089,0.065
"P32","El tránsito",0,0.059,0.059,0.057
"P32","El arreglo de las calles",0.169,0.159,0.125,0.078
"P32","Los parques y espacios públicos",0.164,0.237,0.139,0.158
"P32","El sistema de salud",0.006,0.017,0.102,0.044
"P32","La limpieza de las calles",0.085,0.081,0.063,0.058
"P32","El deporte y la cultura",0.046,0.035,0.128,0.101
"P32","La luminaria",0.03,0.063,0.047,0.077
"P32","No sabe",0.326,0.292,0.248,0.362
"P33","La seguridad",0.554,0.505,0.409,0.474
"P33","El tránsito",0.018,0.07,0.071,0.051
"P33","El arreglo de las calles",0.129,0.165,0.234,0.162
"P33","Los parques y espacios públicos",0.025,0.03,0.032,0.046
"P33","El sistema de salud",0.024,0.068,0.039,0.062
"P33","La limpieza de las calles",0.147,0.004,0.038,0.027
"P33","El deporte y la cultura",0,0.029,0.033,0.016
"P33","La luminaria",0.007,0.022,0.023,0.014
"P33","No sabe",0.096,0.107,0.121,0.148
"P34","Agua corriente y cloacas",0.283,0.284,0.217,0.271
"P34","Energía eléctrica",0.212,0.177,0.121,0.151
"P34","Red de gas natural",0.086,0.123,0.068,0.036
"P34","Recolección de residuos",0.308,0.182,0.252,0.246
"P34","Ninguno",0.111,0.234,0.342,0.296
"P35","Los robos",0.414,0.422,0.483,0.424
"P35","El narcotráfico",0.109,0.129,0.09,0.12
"P35","La ausencia de patrulleros y personal policial",0.237,0.279,0.211,0.224
"P35","Otro",0.153,0.095,0.125,0.171
"P35","Ninguno",0.087,0.075,0.091,0.061
"P36","Muy buena",0.207,0.127,0.145,0.102
"P36","Buena",0.118,0.173,0.159,0.091
"P36","Ni buena ni mala",0.312,0.309,0.262,0.287
"P36","Mala",0.164,0.228,0.154,0.163
"P36","Muy mala",0.093,0.103,0.122,0.093
"P36","No sabe",0.106,0.06,0.158,0.264
"P37","Lo votaria",0.186,0.105,0.084,0.103
"P37","Puede que lo vote",0.073,0.033,0.273,0.12
"P37","Nunca lo votaría",0.7,0.767,0.54,0.65
"P37","No sabe",0.041,0.095,0.103,0.127
"P38","Lo votaria",0.189,0.084,0.109,0.091
"P38","Puede que lo vote",0.042,0.149,0.273,0.162
"P38","Nunca lo votaría",0.752,0.708,0.522,0.599
"P38","No sabe",0.017,0.059,0.096,0.148
"P39","Lo votaria",0.188,0.055,0.136,0.091
"P39","Puede que lo vote",0.038,0.103,0.285,0.169
"P39","Nunca lo votaría",0.748,0.793,0.492,0.621
"P39","No sabe",0.026,0.049,0.087,0.119
"P40","Lo votaria",0.312,0.094,0.11,0.092
"P40","Puede que lo vote",0.362,0.337,0.172,0.257
"P40","Nunca lo votaría",0.309,0.494,0.648,0.561
"P40","No sabe",0.017,0.075,0.07,0.09
"P41","Lo votaria",0.742,0.389,0.168,0.268
"P41","Puede que lo vote",0.15,0.3,0.097,0.213
"P41","Nunca lo votaría",0.108,0.287,0.684,0.437
"P41","No sabe",0,0.024,0.051,0.082
"P42","Lo votaria",0.275,0.102,0.063,0.088
"P42","Puede que lo vote",0.206,0.322,0.175,0.228
"P42","Nunca lo votaría",0.433,0.483,0.653,0.512
"P42","No sabe",0.086,0.093,0.109,0.172
"P43","Lo votaria",0.228,0.062,0.054,0.067
"P43","Puede que lo vote",0.335,0.3,0.115,0.152
"P43","Nunca lo votaría",0.371,0.514,0.733,0.584
"P43","No sabe",0.066,0.124,0.098,0.197
"P44","Lo votaria",0.342,0.31,0.182,0.282
"P44","Puede que lo vote",0.232,0.286,0.132,0.118
"P44","Nunca lo votaría",0.407,0.34,0.639,0.516
"P44","No sabe",0.019,0.064,0.047,0.084
"P45","Lo votaria",0.205,0.233,0.108,0.125
"P45","Puede que lo vote",0.444,0.35,0.138,0.205
"P45","Nunca lo votaría",0.278,0.37,0.701,0.532
"P45","No sabe",0.073,0.047,0.053,0.138
"P46","Muy buena",0.286,0.067,0.038,0.062
"P46","Buena",0.029,0.178,0.151,0.08
"P46","Ni buena ni mala",0.137,0.11,0.239,0.198
"P46","Mala",0.106,0.129,0.224,0.194
"P46","Muy mala",0.442,0.516,0.344,0.459
"P46","No sabe",0,0,0.004,0.007
"P47","Muy buena",0.573,0.164,0.111,0.134
"P47","Buena",0.181,0.334,0.118,0.135
"P47","Ni buena ni mala",0.103,0.081,0.095,0.197
"P47","Mala",0.03,0.159,0.2,0.216
"P47","Muy mala",0.113,0.247,0.473,0.301
"P47","No sabe",0,0.015,0.003,0.017
"P48","Muy buena",0.225,0.193,0.391,0.254
"P48","Buena",0.057,0.074,0.07,0.07
"P48","Ni buena ni mala",0.03,0.035,0.036,0.039
"P48","Mala",0.066,0.132,0.122,0.101
"P48","Muy mala",0.615,0.563,0.379,0.515
"P48","No sabe",0.007,0.003,0.002,0.021
"P49","Muy buena",0.239,0.138,0.128,0.092
"P49","Buena",0.179,0.25,0.112,0.16
"P49","Ni buena ni mala",0.283,0.376,0.134,0.22
"P49","Mala",0.149,0.059,0.199,0.2
"P49","Muy mala",0.144,0.161,0.421,0.291
"P49","No sabe",0.006,0.016,0.006,0.037
"P50","Muy buena",0.175,0.065,0.051,0.055
"P50","Buena",0.133,0.191,0.186,0.133
"P50","Ni buena ni mala",0.136,0.114,0.236,0.195
"P50","Mala",0.153,0.17,0.17,0.16
"P50","Muy mala",0.403,0.457,0.355,0.425
"P50","No sabe",0,0.003,0.002,0.032
"P51","Muy buena",0.698,0.295,0.157,0.221
"P51","Buena",0.073,0.267,0.105,0.175
"P51","Ni buena ni mala",0.157,0.093,0.101,0.155
"P51","Mala",0.026,0.096,0.12,0.139
"P51","Muy mala",0.046,0.245,0.517,0.273
"P51","No sabe",0,0.004,0,0.037
"P52","Muy buena",0.285,0.307,0.144,0.2
"P52","Buena",0.133,0.247,0.092,0.162
"P52","Ni buena ni mala",0.347,0.228,0.143,0.135
"P52","Mala",0.067,0.107,0.127,0.153
"P52","Muy mala",0.168,0.091,0.481,0.307
"P52","No sabe",0,0.02,0.013,0.043
